Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Promoter holding,Industry PE,EPS,Debt to equity,Return on equity,Return on assets,Return on capital employed,OPM,Profit after tax,Price to Earning,Dividend yield,Sales growth,Profit growth,Price to Free Cash Flow,PEG Ratio,Current ratio,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Average return on equity 5Years,Average return on equity 3Years,Return over 1year,Return over 3years,Return over 5years,Operating profit,Net profit,Sales preceding year,Operating profit preceding year,Operating profit growth,Debt 3Years back,Debt 5Years back,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Net cash flow last year,FII holding,DII holding,Return on capital employed preceding year,Return on equity preceding year,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales,EVEBITDA,Quick ratio,Quick ratio.1,EPS growth 5Years,EPS growth 3Years,Dividend Payout Ratio,RSI,DMA 50,Sector
HFCL,500183.0,HFCL,Engineering - Turnkey Services,79.39,11447.74,34.37,31.28,2.56,0.29,9.34,5.64,13.26,14.82,365.92,31.28,0.25,0.39,25.5,-64.03,3.78,1.8,0.32,-1.18,10.88,8.28,11.63,10.73,-21.0,2.28,48.89,680.39,365.92,4743.31,618.59,23.66,941.84,590.31,-536.67,-491.27,395.61,712.74,-39.58,6.97,13.26,15.17,10.19,15.82,17.68,4589.86,16.57,1.52,1.52,5.65,6.71,8.73,43.96,85.24,"Metals & Mining, Realty"
Himadri Special,500184.0,HSCL,Chemicals,437.7,21606.09,51.61,27.93,11.25,0.08,16.41,12.19,22.01,18.52,555.09,38.92,0.11,10.22,35.42,107.0,1.77,3.56,18.23,20.63,113.46,22.01,11.16,14.81,16.72,84.85,54.45,854.22,555.09,4184.89,645.06,32.42,586.79,504.9,605.89,838.15,905.59,1196.06,-59.83,5.38,4.62,18.81,15.39,18.09,12.59,4612.63,23.45,2.59,2.59,18.06,102.1,5.33,46.81,452.04,"Chemicals, Diversified"
Hind. Unilever,500696.0,HINDUNILVR,Personal Care - Multinational,2342.1,550096.37,61.9,54.01,45.32,0.03,20.72,13.19,27.85,23.52,10423.69,52.77,1.79,1.98,1.47,49.11,6.11,1.33,6.37,9.67,5.36,8.63,21.12,20.47,5.01,1.57,1.31,14843.0,10671.0,61896.0,14659.0,1.26,1043.0,0.0,33616.0,46708.0,37346.0,55557.0,5258.0,10.62,15.48,27.24,20.24,27.21,29.08,63121.0,34.31,1.07,1.07,6.87,5.36,116.96,55.04,2308.62,"Fast Moving Consumer Goods, Healthcare"
Hind.Aeronautics,541154.0,HAL,Engineering,4487.9,300129.76,71.64,79.77,129.35,0.0,28.89,10.12,38.88,31.83,8646.28,34.71,0.78,14.03,40.72,40.52,1.31,1.72,9.91,8.71,32.84,26.47,26.64,28.45,13.92,77.87,76.29,10201.12,8650.59,26927.85,6669.47,43.98,52.71,4156.66,22221.65,36297.15,27241.67,43902.26,-184.84,12.08,8.26,30.58,27.16,33.31,29.97,32049.83,21.41,1.3,1.3,26.48,32.85,30.82,64.94,4026.26,"Construction Materials, Metals & Mining, Oil Gas & Consumable Fuels, Realty"
Hindalco Inds.,500440.0,HINDALCO,Aluminium and Aluminium Products,624.65,140350.46,34.64,24.17,61.82,0.53,10.15,4.49,11.29,12.91,14483.83,9.69,0.56,6.38,54.44,14.31,0.67,1.36,17.83,10.59,39.7,14.48,10.87,12.99,-3.06,8.98,36.84,29649.0,13892.0,223202.0,22666.0,31.67,67206.0,52415.0,29432.0,47034.0,60102.0,90079.0,-1028.0,28.15,24.68,11.34,11.67,13.06,11.44,229600.0,5.95,0.67,0.67,14.46,39.69,7.65,47.69,634.11,"Construction Materials, Metals & Mining"
Hindustan Copper,513599.0,HINDCOPPER,Mining / Minerals / Metals,213.28,20630.36,66.14,30.1,4.16,0.04,13.53,8.85,17.99,35.36,402.3,51.28,0.43,11.31,32.67,41.58,3.36,0.91,-1.32,-1.12,39.0,15.25,6.28,16.94,-44.75,23.47,52.27,673.54,402.3,1677.33,492.01,32.88,1137.43,1070.11,1487.93,1982.09,2018.01,2935.98,-222.31,3.27,8.57,18.04,14.73,18.04,8.46,1904.93,27.52,0.51,0.51,14.24,36.96,30.12,47.43,220.95,"Metals & Mining, Oil Gas & Consumable Fuels"
Hindustan Zinc,500188.0,HINDZINC,Mining / Minerals / Metals,439.2,185596.84,63.41,30.1,24.33,0.82,72.52,30.27,60.81,50.92,10342.17,17.95,6.6,17.4,33.03,17.75,1.95,1.04,4.89,12.85,2.61,9.22,37.77,55.08,2.87,10.91,20.26,17296.0,10279.0,28934.0,13681.0,26.42,2844.0,611.0,31365.0,49228.0,42636.0,65894.0,43.0,1.43,4.14,46.25,55.19,52.48,44.24,33969.0,10.74,0.87,0.87,9.22,2.61,41.1,49.8,439.51,"Metals & Mining, Oil Gas & Consumable Fuels"
Hitachi Energy,543187.0,POWERINDIA,Electric Equipment,14529.0,65213.48,71.31,50.27,74.03,0.25,12.74,3.8,17.85,8.17,313.75,207.85,0.03,27.08,210.86,-1415.04,,1.17,15.26,,10.98,,,12.54,51.68,66.48,78.51,506.53,313.75,4468.51,250.45,93.28,39.07,,-137.38,235.89,130.99,668.05,-35.15,4.96,12.34,12.91,8.03,18.82,18.98,6196.53,116.36,0.89,0.89,,10.98,10.36,68.39,12718.72,"Capital Goods, Energy"
Home First Finan,543259.0,HOMEFIRST,Finance - Housing,1229.3,12640.3,12.47,19.56,40.5,3.87,15.52,3.76,11.25,80.32,360.85,35.03,0.28,35.81,26.05,-9.03,0.76,10.04,33.22,34.41,45.07,46.23,12.8,14.0,34.71,20.51,,1146.99,360.85,795.58,612.33,41.17,3053.69,1925.64,-4201.82,-5254.69,-4183.24,-5229.36,344.91,36.54,21.21,10.34,13.46,10.33,10.05,1428.04,17.48,10.04,10.04,-0.88,44.46,9.84,62.18,1087.5,Financial services
Honasa Consumer,544014.0,HONASA,Trading,246.44,8010.28,34.99,28.79,2.1,0.1,,9.41,17.1,3.4,68.16,117.52,0.0,6.84,-25.61,104.62,1.22,2.42,56.54,153.54,27.87,96.68,,,-42.85,,,61.58,68.16,1394.8,44.66,-46.48,1974.33,0.06,229.8,247.69,247.15,266.52,102.93,15.55,18.49,7.13,,10.29,-230.97,1813.6,56.7,2.04,2.04,14.88,25.99,0.0,62.63,232.77,Services
