Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Promoter holding,Industry PE,EPS,Debt to equity,Return on equity,Return on assets,Return on capital employed,OPM,Profit after tax,Price to Earning,Dividend yield,Sales growth,Profit growth,Price to Free Cash Flow,PEG Ratio,Current ratio,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Average return on equity 5Years,Average return on equity 3Years,Return over 1year,Return over 3years,Return over 5years,Operating profit,Net profit,Sales preceding year,Operating profit preceding year,Operating profit growth,Debt 3Years back,Debt 5Years back,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Net cash flow last year,FII holding,DII holding,Return on capital employed preceding year,Return on equity preceding year,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales,EVEBITDA,Quick ratio,Quick ratio.1,EPS growth 5Years,EPS growth 3Years,Dividend Payout Ratio,RSI,DMA 50,Sector
JSW Holdings,532642.0,JSWHL,Finance & Investments,23280.0,26074.24,66.29,20.15,157.7,0.0,0.55,0.48,0.72,94.46,175.04,148.96,0.0,47.05,50.13,142.59,23.99,1.9,22.25,9.58,21.77,6.21,0.97,0.97,244.05,78.54,68.9,232.02,175.04,406.76,400.87,47.66,0.0,0.0,543.66,714.37,543.62,714.36,2.94,22.63,0.21,2.07,1.55,1.31,1.27,245.62,112.37,1.9,1.9,6.21,21.77,0.0,47.04,22001.93,Financial services
JSW Infrast,543994.0,JSWINFRA,Miscellaneous,293.65,61553.89,85.62,20.67,7.16,0.52,16.96,9.94,14.51,50.54,1503.08,40.95,0.19,18.95,31.89,59.51,0.77,3.02,25.34,31.39,66.25,52.84,16.43,18.29,17.46,,,2262.18,1521.48,3762.89,1967.52,14.98,4740.17,3109.22,3108.73,3196.45,5700.89,7887.96,-117.78,4.75,2.69,16.41,18.96,15.87,13.65,4476.14,24.52,2.92,2.92,-24.76,-48.97,11.04,47.87,291.49,Fast Moving Consumer Goods
JSW Steel,500228.0,JSWSTEEL,Steel - Large,1029.8,251492.86,44.84,17.31,13.49,1.2,11.79,3.92,13.3,13.2,3498.48,71.89,0.71,-3.09,-67.67,35.43,30.46,1.07,29.9,15.6,2.06,2.36,16.83,17.14,16.73,12.3,41.64,22478.0,3312.0,165960.0,18470.0,-25.0,62392.0,47396.0,21327.0,30927.0,61671.0,93245.0,-7394.0,25.78,10.52,8.33,5.64,16.72,14.97,170274.0,14.55,0.43,0.43,2.13,1.66,25.27,52.44,1007.35,"Construction Materials, Metals & Mining"
Jubilant Food.,533155.0,JUBLFOOD,Hotels,715.4,47222.0,41.94,413.29,5.61,1.94,12.98,4.08,11.2,19.56,229.36,205.88,0.17,42.24,4.08,171.91,-66.2,0.53,19.52,9.67,4.88,-3.11,19.41,18.39,54.45,9.43,17.33,1488.86,376.04,5158.25,1135.95,47.36,1619.98,0.0,823.7,1801.03,2965.83,4444.26,101.51,20.54,31.03,16.19,18.11,16.2,18.88,7611.34,32.47,0.33,0.33,-3.11,4.88,19.83,61.83,678.45,Services
Jubilant Ingrev.,543271.0,JUBLINGREA,Chemicals,642.45,10235.36,51.48,27.93,12.96,0.26,6.93,4.18,9.97,11.03,206.37,49.6,0.78,-0.13,0.2,418.86,,1.32,82.17,,43.43,,,13.17,16.18,8.49,,463.44,206.37,4772.69,548.52,7.32,555.68,,73.3,158.08,1345.18,1457.46,6.06,7.12,15.91,16.01,12.1,18.36,15.74,4200.79,21.68,0.66,0.66,,43.43,43.2,44.69,671.88,"Chemicals, Diversified"
Jubilant Pharmo,530019.0,JUBLPHARMA,Pharmaceuticals - Indian - Bulk Drugs,897.95,14278.01,50.68,27.4,39.37,0.52,0.76,0.37,6.74,15.56,333.13,42.86,0.56,6.67,810.2,226.85,-0.98,1.8,3.2,-5.95,-63.72,-43.94,7.12,0.55,33.19,23.94,20.31,1099.3,623.2,6281.7,778.9,29.76,2829.56,4840.43,189.17,2434.47,2469.54,5796.75,-57.5,17.23,7.05,3.13,-6.89,6.52,9.25,7064.3,14.01,1.2,1.2,-43.94,-63.72,102.46,47.46,924.04,Healthcare
Jupiter Wagons,533272.0,JWL,Engineering,354.6,15066.96,68.11,35.13,9.08,0.16,27.36,15.0,31.67,13.84,379.93,39.66,0.28,22.89,41.05,-681.63,0.5,1.91,54.06,75.97,83.86,80.11,18.0,19.38,-13.18,84.46,112.16,551.0,379.93,2068.25,253.93,26.27,137.68,41.51,-66.25,-55.83,126.06,178.69,-3.95,3.86,1.71,24.35,16.77,22.61,16.95,3981.53,25.6,1.11,1.11,41.54,10.49,7.43,43.96,365.78,"Construction Materials, Metals & Mining, Oil Gas & Consumable Fuels, Realty"
Just Dial,535648.0,JUSTDIAL,Miscellaneous,936.8,7976.9,74.15,42.07,68.7,0.02,13.54,11.25,15.31,29.37,584.2,13.65,0.0,9.49,318.42,35.19,0.83,8.18,20.85,3.68,216.43,16.49,5.76,6.56,-18.77,2.93,18.27,335.38,584.2,1042.91,216.74,54.74,55.33,76.42,678.9,838.68,749.51,927.65,-7.38,6.57,8.92,4.81,3.63,7.27,6.76,1141.93,10.76,8.18,8.18,10.36,214.75,0.0,56.67,890.27,Fast Moving Consumer Goods
Jyothy Labs,532926.0,JYOTHYLAB,Personal Care - Indian,374.0,13722.92,62.89,38.29,10.14,0.03,21.21,15.96,26.99,17.47,372.23,36.87,0.94,4.65,6.31,43.78,2.92,2.41,13.03,8.74,19.25,12.62,15.36,15.91,-13.89,34.33,26.37,496.03,372.26,2486.02,315.87,7.21,168.06,280.95,941.15,1447.61,989.14,1562.77,-21.26,13.13,16.25,18.11,14.67,19.44,18.15,2840.01,24.83,1.82,1.82,12.62,19.25,34.79,55.68,362.61,"Consumer Services, Fast Moving Consumer Goods, Healthcare"
Jyoti CNC Auto.,544081.0,JYOTICNC,Engineering,1076.6,24489.99,62.54,35.13,13.48,0.17,20.83,8.16,21.22,25.88,306.68,79.86,0.0,26.84,221.77,-469.33,0.62,2.78,36.0,6.76,58.09,129.01,-6.54,9.24,26.69,,,437.98,306.68,929.26,76.85,74.4,721.85,578.66,-156.49,-153.42,32.45,85.07,286.24,7.2,10.43,7.59,-36.47,11.21,6.2,1692.15,54.05,1.36,1.36,58.19,31.09,0.0,53.7,1052.72,"Construction Materials, Metals & Mining, Oil Gas & Consumable Fuels, Realty"
K E C Intl.,532714.0,KEC,Transmisson Line Towers / Equipment,698.2,18571.78,50.1,36.62,17.38,0.85,8.8,1.91,16.05,6.4,454.3,40.88,0.57,9.68,70.02,539.56,-5.92,1.18,14.94,12.6,-14.19,-6.91,11.83,7.87,-6.76,20.67,29.05,1353.07,454.3,17281.71,919.65,21.89,2065.69,1839.44,103.34,714.66,641.17,1568.19,-76.06,15.42,24.18,11.75,4.74,13.98,17.49,21139.41,15.85,1.1,1.1,-6.91,-14.19,29.66,43.21,757.44,"Capital Goods, Energy, Telecommunication"
K P R Mill Ltd,532889.0,KPRMILL,Textiles - Products,997.25,34079.09,70.68,35.96,24.11,0.08,19.49,13.72,20.62,19.77,824.17,41.35,0.5,0.05,2.86,-1261.04,2.2,5.15,19.77,12.36,15.33,18.79,23.08,23.32,17.76,16.53,61.07,1248.44,824.17,6185.88,1274.39,2.17,657.4,856.33,-81.09,790.96,1470.85,2918.05,-33.45,6.25,16.47,23.94,22.87,25.06,23.98,6315.62,25.91,2.96,2.96,20.21,15.59,21.22,52.79,957.35,"Consumer Durables, Textiles"
Kajaria Ceramics,500233.0,KAJARIACER,Ceramics - Tiles / Sanitaryware,804.5,12810.32,47.48,32.85,22.24,0.1,16.85,12.42,21.15,13.62,354.27,36.16,1.49,3.41,-17.78,67.14,2.94,2.45,18.08,9.14,10.04,12.31,16.9,17.11,-33.21,-8.01,16.51,639.77,361.11,4381.93,593.07,-9.0,126.03,120.33,572.64,1083.32,1322.67,2055.86,87.79,15.79,27.68,19.71,15.77,21.54,20.8,4697.49,18.36,1.64,1.64,12.27,10.0,45.29,41.23,867.71,"Construction Materials, Realty"
Kalpataru Proj.,522287.0,KPIL,Transmisson Line Towers / Equipment,972.1,16636.08,33.52,36.62,31.91,0.94,10.37,2.49,15.99,8.24,514.04,32.36,0.82,14.47,18.18,54.52,18.6,1.16,14.87,12.61,-0.18,1.74,10.8,9.56,-20.69,39.26,33.58,1748.36,518.1,16361.44,1489.53,15.87,3259.53,2609.68,913.58,2083.34,2213.01,4081.25,52.7,11.6,45.02,14.08,8.57,14.43,16.21,21220.01,11.4,1.07,1.07,0.59,-3.04,25.5,53.76,969.35,"Capital Goods, Energy, Telecommunication"
Kalyan Jewellers,543278.0,KALYANKJIL,Diamond Cutting / Jewellery,516.55,53289.08,62.85,33.34,6.45,1.04,15.22,5.06,14.04,6.18,664.06,80.25,0.23,34.65,20.64,77.54,0.46,1.29,29.34,13.68,366.53,175.65,9.61,12.4,24.74,103.94,,1448.35,664.06,14071.45,1164.95,14.66,4081.17,3907.05,2061.33,2854.61,2599.27,3547.91,36.8,16.89,11.97,12.69,13.46,12.03,10.82,23422.77,36.48,0.22,0.22,164.73,366.53,20.69,55.21,506.17,Metals & Mining
Kansai Nerolac,500165.0,KANSAINER,Paints / Varnishes,257.17,20807.15,74.98,36.54,14.23,0.05,12.79,9.43,16.56,12.29,627.02,33.18,0.97,0.13,-3.2,82.06,3.97,2.82,15.42,7.54,7.79,8.35,11.76,10.7,-8.07,-6.34,-1.4,955.61,1121.19,7542.73,817.99,-6.02,173.1,107.95,760.02,1661.3,1336.03,2576.97,64.41,5.3,10.1,14.26,10.68,14.07,15.58,7775.71,19.25,1.85,1.85,8.35,7.79,25.57,54.83,247.96,Construction Materials
Karur Vysya Bank,590003.0,KARURVYSYA,Banks - Private Sector,218.17,17533.09,2.11,11.67,23.42,8.92,17.17,1.63,6.89,61.19,1884.38,9.3,1.1,19.92,26.76,12.37,0.19,,14.46,7.12,64.49,50.07,10.48,13.68,6.97,64.68,49.46,5714.57,1884.38,6516.55,3551.33,23.6,65806.72,61433.29,4257.81,9915.83,4466.76,10336.11,963.43,15.12,38.87,5.61,13.66,5.86,5.72,9339.11,14.96,,,49.88,64.15,12.03,53.79,214.46,"Banks - Private Sector, Diversified"
Kaynes Tech,543664.0,KAYNES,Electronics - Components,5747.2,36860.75,57.75,48.61,40.45,0.27,10.53,7.75,14.53,14.25,258.71,142.48,0.0,55.01,80.37,-255.06,,2.41,62.49,,165.2,,,12.87,115.7,,,338.29,258.71,1125.91,169.86,54.97,140.55,,-433.31,-418.68,49.65,120.5,-6.52,11.17,16.98,21.54,16.38,20.56,18.79,2374.58,80.02,1.78,1.78,,25.66,0.0,60.69,5155.62,Capital Goods
KEI Industries,517569.0,KEI,Cables - Power,3063.6,29292.78,35.02,24.16,69.75,0.1,20.25,13.79,27.21,10.09,638.66,45.87,0.13,17.92,16.04,110.41,1.75,2.86,24.68,13.9,29.16,26.14,19.66,19.96,-23.33,36.4,60.18,920.57,638.66,6908.17,702.06,15.47,332.59,599.44,795.8,833.32,1353.11,1493.95,186.19,25.83,23.51,25.82,20.21,25.63,25.18,9126.7,29.87,1.5,1.5,22.8,29.1,5.44,57.16,3117.14,Energy
KFin Technolog.,543720.0,KFINTECH,Miscellaneous,1197.6,20613.57,32.91,55.35,19.33,0.03,26.1,20.99,34.21,43.92,332.63,61.97,0.48,30.23,35.19,92.06,0.45,5.19,19.48,19.38,30.86,136.56,21.95,25.5,59.69,,,479.01,332.63,837.53,364.26,31.5,159.66,413.24,671.66,1031.15,911.52,1368.79,-19.08,22.56,20.37,30.26,24.47,31.27,28.54,1090.75,39.65,5.19,5.19,130.41,29.7,38.8,58.59,1088.61,Fast Moving Consumer Goods
Kirl. Brothers,500241.0,KIRLOSBROS,Pumps,1712.0,13582.76,65.95,36.22,54.18,0.09,21.68,10.73,27.3,13.78,434.92,31.23,0.35,13.65,49.29,80.53,0.2,1.9,13.78,3.62,28.53,155.16,15.11,16.7,30.41,74.09,74.99,610.9,433.6,3730.19,400.36,29.02,331.0,379.71,506.41,919.54,819.65,1441.46,44.62,6.1,9.61,21.71,18.28,20.0,17.49,4434.7,19.28,1.17,1.17,155.16,28.53,13.68,51.28,1728.26,Oil Gas & Consumable Fuels
Kirloskar Oil,533293.0,KIRLOSENG,Engines,746.5,10831.11,41.15,29.75,34.93,1.86,17.7,5.88,14.97,18.84,473.12,22.89,0.8,11.21,20.13,-10.52,1.23,1.18,21.4,10.21,31.94,18.54,12.45,13.84,-26.98,66.25,45.76,1177.98,496.07,5019.8,734.29,28.89,848.55,89.81,-3092.29,-3418.69,-2429.77,-2569.88,222.6,9.14,26.59,13.44,14.66,12.67,12.66,6253.86,12.72,0.95,0.95,18.48,31.84,19.68,54.76,746.42,
KNR Construct.,532942.0,KNRCON,Construction,218.71,6142.8,48.81,20.14,43.24,0.34,23.66,14.77,25.74,34.25,1206.24,5.09,0.11,21.85,117.96,1066.5,0.21,2.78,15.12,14.09,32.77,23.86,18.74,18.98,-17.69,-6.82,15.76,1778.38,1334.89,4062.36,917.68,93.47,764.37,758.21,17.3,-127.61,542.05,697.08,165.4,6.91,28.31,20.74,15.45,22.3,21.59,5191.96,3.25,2.62,2.62,23.86,32.77,0.9,40.56,239.27,"Construction Materials, Metals & Mining, Realty"
Kotak Mah. Bank,500247.0,KOTAKBANK,Banks - Private Sector,2208.1,438949.84,25.88,11.67,113.33,3.63,15.06,2.62,7.86,20.58,19661.93,22.32,0.09,20.71,12.72,65.64,1.09,,19.66,13.52,22.27,20.42,14.06,14.32,35.97,7.23,10.22,13180.75,22530.43,42151.06,8665.6,37.43,327110.31,291763.2,20064.89,70852.02,22750.93,74250.89,22281.04,32.65,29.13,6.86,14.31,7.0,6.97,64053.08,18.39,,,19.45,22.14,2.18,60.4,2076.22,"Banks - Private Sector, Diversified"
KPIT Technologi.,542651.0,KPITTECH,Computers - Software - Medium / Small,1253.6,34370.75,39.47,31.76,30.63,0.12,33.2,18.39,40.88,21.05,839.6,40.94,0.53,19.93,41.77,42.18,1.01,1.57,33.92,22.06,44.22,40.42,26.93,30.67,-16.1,31.3,86.37,1229.78,839.6,4871.54,990.79,24.12,227.23,203.68,2443.91,3418.52,2853.75,3956.34,417.22,17.17,21.29,38.36,31.19,36.47,29.64,5842.35,23.89,1.52,1.52,40.42,44.22,27.51,54.28,1254.1,Information Technology
Krishna Institu.,543308.0,KIMS,Healthcare,656.85,26300.63,38.82,52.96,8.7,0.89,17.63,9.94,16.87,25.89,348.2,75.53,0.0,17.69,3.04,-712.73,1.42,0.95,23.38,22.17,15.15,53.2,22.55,21.98,61.52,34.83,,743.6,379.9,2197.68,610.9,15.36,316.37,336.45,-110.62,301.79,1277.21,1834.68,-14.72,15.44,31.95,23.61,21.26,24.72,24.63,2871.9,36.15,0.87,0.87,51.54,13.97,0.0,56.94,615.33,"Consumer Services, Diversified, Healthcare, Services"
KSB,500249.0,KSB,Pumps,732.65,12755.25,69.8,36.22,14.62,0.0,17.72,11.19,23.82,13.32,254.5,50.12,0.55,12.27,19.82,549.41,2.28,2.13,19.16,14.38,18.18,21.96,16.01,17.26,-18.81,40.0,49.42,344.3,254.5,2247.24,293.57,15.81,2.99,60.0,69.61,216.49,366.89,600.84,-23.63,4.86,11.07,23.29,17.06,23.42,21.75,2584.3,31.25,1.32,1.32,21.95,18.17,28.13,54.12,713.01,Oil Gas & Consumable Fuels
L T Foods,532783.0,LTFOODS,Food - Processing - Indian,346.55,12035.75,51.0,31.3,17.09,0.33,19.32,10.5,21.09,11.32,593.58,20.28,0.58,13.42,3.63,34.85,0.57,2.49,17.91,14.84,29.36,35.81,16.86,17.53,60.63,58.4,73.81,965.08,601.52,6935.79,700.71,8.53,1569.84,1690.4,1035.97,1774.35,1532.75,2454.58,17.46,9.79,6.16,17.09,16.78,17.46,15.87,8527.92,12.08,0.7,0.7,33.6,25.86,2.93,44.59,362.71,Fast Moving Consumer Goods
L&T Finance Ltd,533519.0,LTF,Finance & Investments,164.17,40981.93,66.24,20.15,10.6,3.61,10.79,2.37,8.7,60.35,2643.42,15.5,1.52,17.26,14.06,-12.81,1.68,5.07,10.11,2.46,46.01,9.23,6.14,7.09,-1.49,23.31,21.89,9610.18,2643.42,13580.58,8056.55,19.28,85236.76,93934.07,-9598.35,1818.27,-9194.77,2347.59,-697.13,5.48,13.28,8.22,10.31,7.44,7.3,15924.24,12.73,5.07,5.07,8.97,45.6,25.95,54.56,154.75,Financial services
L&T Technology,540115.0,LTTS,Computers - Software - Large,4257.1,45084.28,73.66,29.57,119.64,0.1,22.15,13.94,28.34,17.74,1263.5,35.68,1.17,10.6,-1.99,35.93,3.95,2.16,17.55,13.68,10.57,9.03,24.53,25.32,-8.26,1.33,28.08,1892.5,1263.5,9647.3,1919.0,-1.38,477.1,30.3,3764.5,5872.1,4286.9,6625.6,253.5,5.18,13.67,33.62,26.41,32.76,31.25,10670.1,20.97,2.16,2.16,8.74,10.45,46.03,43.92,4543.55,Information Technology
Larsen & Toubro,500510.0,LT,Engineering - Turnkey Services,3341.0,459154.56,0.0,28.88,101.36,1.41,14.68,4.59,13.44,12.69,13874.33,33.09,0.84,16.98,9.68,28.04,4.06,1.17,17.59,10.34,-2.45,8.16,14.08,12.36,-7.05,25.4,30.07,31514.07,16530.67,183340.7,27166.02,9.01,134629.08,125555.17,49163.05,74708.98,60206.82,89974.52,-4968.19,19.8,42.71,11.68,11.81,11.82,11.57,248420.86,15.98,1.14,1.14,8.6,-1.75,35.79,54.36,3316.07,"Metals & Mining, Realty"
Latent View,543398.0,LATENTVIEW,Computers - Software - Medium / Small,393.25,8110.4,65.24,31.76,8.05,0.02,12.24,11.62,15.19,22.13,165.96,48.87,0.0,29.04,12.42,85.13,2.13,10.05,27.95,17.35,20.75,22.9,15.1,13.46,-21.07,-3.84,,174.25,167.5,538.76,145.16,38.55,51.86,35.54,286.16,433.92,300.24,453.1,111.48,3.02,3.27,16.71,13.8,16.46,20.28,787.31,32.08,10.05,10.05,-35.69,-58.88,0.0,52.3,393.25,Information Technology
Laurus Labs,540222.0,LAURUSLABS,Pharmaceuticals - Indian - Bulk Drugs & Formln,603.85,32546.95,27.62,29.08,6.64,0.62,8.35,4.04,9.96,19.0,358.32,90.83,0.2,10.18,121.59,1725.79,13.03,1.22,4.01,14.42,-24.37,6.97,18.14,10.86,34.19,1.16,42.57,1055.28,358.34,5040.83,779.43,35.39,1776.66,1079.42,56.61,140.11,2261.24,3905.34,-40.79,25.51,11.78,6.6,3.97,13.11,20.92,5553.96,31.11,0.68,0.68,6.78,-24.46,12.04,47.52,599.48,Healthcare
Lemon Tree Hotel,541233.0,LEMONTREE,Hotels,136.92,10831.09,22.49,33.81,2.26,2.23,16.31,4.69,11.36,48.69,178.92,60.54,0.0,24.2,42.59,76.37,2.63,0.57,62.05,14.28,46.87,22.99,1.09,6.68,-10.39,27.28,50.73,601.32,219.0,874.99,447.57,22.85,2159.47,1195.57,426.11,-79.42,985.16,1177.16,9.96,20.89,19.68,10.13,13.58,7.5,5.37,1234.88,21.51,0.52,0.52,22.99,46.87,0.0,46.73,137.49,Services
LIC Housing Fin.,500253.0,LICHSGFIN,Finance - Housing,600.95,33034.26,45.24,19.56,93.64,7.67,16.22,1.67,8.79,93.3,5150.7,6.41,1.5,3.71,5.75,-2.27,0.45,0.19,11.11,9.41,20.19,14.35,13.15,12.74,-10.82,16.64,16.23,25892.71,5150.99,22716.81,19753.16,6.9,207925.2,170657.14,-43624.73,-75528.04,-43512.25,-75390.19,781.44,21.55,21.34,7.57,11.13,7.82,8.14,27752.77,11.19,0.19,0.19,12.4,16.79,10.41,58.09,573.09,Financial services
Life Insurance,543526.0,LICI,Finance & Investments,795.75,503311.7,96.5,49.5,68.08,0.0,63.45,0.83,72.95,3.16,43039.98,11.69,1.26,9.56,6.83,20.0,0.16,3.4,6.98,8.16,139.61,73.2,80.87,79.15,-18.66,,,28007.38,43042.5,784627.65,34207.2,-28.64,3.67,269400.6,75506.14,215717.69,76857.62,211826.58,-3574.31,0.1,1.27,143.71,125.05,116.09,72.54,885803.83,10.56,3.4,3.4,,,15.46,50.4,797.87,Financial services
Linde India,523457.0,LINDEINDIA,Chemicals,6336.0,54152.12,75.0,27.93,50.92,0.01,12.88,9.21,17.36,29.08,434.25,124.7,0.06,-8.86,3.21,267.41,1.88,1.74,23.46,4.79,41.72,66.19,12.1,14.51,-23.25,20.94,63.54,733.74,434.25,3135.52,764.84,3.32,6.9,1199.36,606.33,1128.65,1655.02,2320.73,-207.79,2.63,6.49,20.83,18.18,18.42,15.24,2523.58,65.92,1.67,1.67,66.19,41.72,24.0,52.93,6230.46,"Chemicals, Diversified"
Lloyds Metals,512455.0,LLOYDSME,Mining / Minerals / Metals,1203.2,62959.09,63.44,16.56,27.73,0.12,31.49,21.75,38.36,29.06,1450.95,43.39,0.08,3.06,18.06,-56.71,0.38,1.43,113.4,78.57,113.66,114.67,45.08,46.03,62.11,80.96,204.58,1953.23,1450.95,6521.65,1728.58,13.0,96.06,123.67,-3330.02,-3542.3,2389.35,2296.2,36.88,2.1,1.93,78.27,56.64,65.98,47.59,6721.4,31.43,1.22,1.22,81.35,90.14,3.61,45.11,1225.57,"Metals & Mining, Oil Gas & Consumable Fuels"
LTIMindtree,540005.0,LTIM,Computers - Software - Large,4586.5,135963.8,68.57,29.57,155.21,0.1,21.53,15.82,27.63,17.09,4598.7,29.57,1.42,7.01,0.36,38.43,1.19,3.51,13.33,28.43,5.21,24.78,26.95,24.66,-2.55,-1.77,23.55,6494.9,4602.0,35517.0,6387.4,1.68,257.5,911.9,10608.7,14939.6,13309.9,18960.2,233.2,7.0,15.51,31.17,25.03,31.72,35.99,38008.1,17.98,3.51,3.51,12.2,-11.68,41.84,54.68,4707.1,Information Technology
Lupin,500257.0,LUPIN,Pharmaceuticals - Indian - Bulk Drugs & Formln,2095.6,95663.89,46.92,29.08,62.9,0.22,14.14,8.22,15.72,22.43,2868.53,33.35,0.38,12.94,60.16,108.85,1.59,1.88,9.69,6.41,17.13,21.04,2.23,1.92,27.32,41.18,20.2,4934.08,2892.1,16641.66,1720.57,45.56,5129.08,8496.07,2637.19,4585.11,5912.91,9203.51,-248.05,21.46,25.41,5.73,3.33,4.77,6.57,22001.56,19.05,1.22,1.22,20.87,16.96,19.04,55.4,2034.8,Healthcare
M & M,500520.0,M&M,Automobiles - Passenger Cars,2928.8,364254.8,18.45,26.56,99.62,1.66,18.39,5.59,13.58,19.21,12388.01,29.4,0.72,11.74,11.29,-43.33,1.75,1.31,23.25,5.84,80.02,16.8,11.8,17.11,35.82,47.0,51.53,29211.16,13656.26,121268.55,20285.29,22.42,80624.83,70848.3,-25215.83,-20183.39,-3456.42,12995.48,1036.69,38.3,29.77,12.69,18.11,12.26,10.36,152063.24,14.28,1.08,1.08,16.79,80.0,20.87,64.64,2779.61,"Automobile and Auto Components, Diversified"
M & M Fin. Serv.,532720.0,M&MFIN,Finance & Investments,262.05,32378.58,52.16,20.15,18.31,5.53,10.91,1.69,8.84,63.0,2260.87,14.32,2.4,15.66,17.28,-1.85,0.89,2.2,17.37,9.01,26.35,16.04,9.2,10.92,0.34,12.68,20.96,11630.96,2260.87,15962.69,9758.49,19.19,62125.63,65634.24,-52487.6,-46978.94,-51445.75,-45601.79,926.65,10.68,31.31,8.74,10.02,8.81,8.29,18463.1,12.38,2.2,2.2,16.03,26.35,35.49,41.22,272.5,Financial services
M R P L,500109.0,MRPL,Refineries,134.21,23530.42,88.58,20.02,0.32,1.01,0.43,0.16,4.33,2.42,56.21,418.62,2.24,4.73,-98.48,5.84,27.8,0.98,10.72,13.52,-73.41,15.06,19.54,19.31,-46.35,22.09,32.84,2292.82,56.21,90406.68,7844.53,-70.77,21310.45,18481.86,12083.29,12252.46,15287.32,16965.41,0.37,1.31,1.32,25.75,31.93,16.74,12.56,94681.62,14.81,0.35,0.35,15.06,-73.41,0.0,51.17,131.36,Oil Gas & Consumable Fuels
Macrotech Devel.,543287.0,LODHA,Construction,1329.3,132682.82,71.94,32.22,27.71,0.35,14.69,5.7,15.62,28.93,2764.3,48.0,0.17,33.57,70.82,65.09,1.55,1.69,14.28,2.06,32.05,30.94,11.48,11.37,7.32,38.11,,3986.6,2766.6,10316.1,2664.7,49.61,11536.7,18423.15,6112.1,10607.82,6827.9,11350.15,-1030.5,24.64,2.36,11.06,10.74,11.81,10.52,13779.5,31.54,0.38,0.38,25.03,30.51,15.34,61.08,1218.68,"Construction Materials, Metals & Mining, Realty"
Mah. Seamless,500265.0,MAHSEAMLES,Steel - Large,655.45,8780.54,68.86,17.31,56.26,0.0,18.12,15.3,22.92,17.61,753.26,11.66,1.53,-12.99,-31.71,16.21,0.44,8.33,32.78,12.11,68.92,26.32,14.1,18.16,-27.53,30.44,42.53,891.88,753.34,5716.37,1011.34,-28.21,921.55,1058.72,1625.57,1955.54,1683.81,2879.17,0.11,9.63,3.97,19.89,17.53,18.43,15.08,5065.8,7.98,5.54,5.54,26.32,68.93,14.09,43.94,673.6,"Construction Materials, Metals & Mining"
Mahanagar Gas,539957.0,MGL,Miscellaneous,1346.1,13299.48,32.5,15.73,107.08,0.03,27.79,19.45,36.6,23.02,1057.69,12.57,2.23,5.37,-18.19,30.54,0.67,1.14,42.62,17.48,27.66,18.73,23.12,22.45,-6.75,20.51,6.71,1525.2,1057.69,6299.28,1184.19,-17.04,74.1,0.0,1306.27,2331.67,3436.07,5226.84,-15.21,23.76,23.82,26.79,20.44,28.87,29.95,6625.88,7.69,1.11,1.11,18.73,27.66,22.99,53.9,1318.18,Fast Moving Consumer Goods
Mahindra Life.,532313.0,MAHLIFE,Construction,341.4,5298.58,51.14,29.5,3.95,0.76,3.25,1.08,2.95,-45.63,61.29,86.45,0.78,75.52,-28.42,-11.39,3.55,1.44,-1.84,-9.43,-5.27,24.35,2.01,3.22,-46.43,-3.37,40.67,-169.87,61.35,212.09,-171.04,0.68,286.32,237.33,-1394.89,-1519.06,-1351.84,-1471.86,146.79,9.55,20.11,2.01,4.66,2.33,0.82,372.27,60.19,0.2,0.2,24.3,-5.39,70.85,60.32,337.4,"Construction Materials, Metals & Mining, Realty"
Manappuram Fin.,531213.0,MANAPPURAM,Finance & Investments,230.85,19548.37,35.25,20.15,23.26,3.12,20.65,5.09,13.75,63.13,1965.26,9.95,1.54,21.39,-3.69,-7.95,0.54,9.02,11.81,16.18,8.28,18.41,20.97,18.26,15.34,26.11,11.47,6338.95,1970.55,6699.67,4382.32,13.02,23327.15,15297.24,-7377.67,-11765.48,-6909.0,-11148.04,49.39,28.43,7.99,11.74,16.6,12.46,13.67,10040.81,8.44,9.02,9.02,18.31,8.28,12.76,56.85,218.85,Financial services
Mankind Pharma,543904.0,MANKIND,Pharmaceuticals - Indian - Bulk Drugs & Formln,2465.3,101701.05,72.7,29.08,50.08,0.02,19.71,16.5,24.57,27.67,1933.66,52.6,0.0,10.58,23.14,191.68,1.93,3.21,18.82,19.33,17.61,27.24,21.53,19.82,4.27,,,2580.33,2018.47,8127.15,1697.87,25.84,100.85,190.0,1592.01,3178.28,4603.4,6546.39,55.07,12.92,11.47,20.7,17.02,25.23,29.02,9326.12,34.51,2.76,2.76,27.24,17.61,0.0,50.13,2449.1,Healthcare
Marico,531642.0,MARICO,Solvent Extraction,710.45,92014.8,59.05,25.16,12.39,0.11,38.51,21.06,43.08,20.45,1604.0,57.37,1.34,7.95,9.49,81.12,9.91,2.04,6.25,5.65,8.14,5.79,36.76,37.21,37.15,10.84,19.88,2123.0,1633.0,9764.0,1810.0,7.38,511.0,352.0,3404.0,6308.0,3871.0,7092.0,21.0,22.09,14.12,41.93,35.85,42.62,42.88,10379.0,39.92,1.45,1.45,5.74,8.06,82.75,63.4,667.61,"Chemicals, Oil Gas & Consumable Fuels"
